# # fluid_velocity[i, j] in m/s: i is index of the azimuthal position on the receiver surface (counter-clockwise from South); and j is index of height on the receiver from bottom to top.
2.930167763696286620e+00,2.930120643497306610e+00,2.929992534380900793e+00,2.929772891536959634e+00,2.929445578439393572e+00,2.929008008794800944e+00,2.928469839210920078e+00,2.927855551507309251e+00,2.927161643267639946e+00,2.926379391945905795e+00,2.925519175816792661e+00,2.924596677911457832e+00,2.923606877505818158e+00,2.922535272729449574e+00,2.921400316209087578e+00,2.920207360905366478e+00,2.918958581436193356e+00,2.917651610759307346e+00,2.916306365833479131e+00,2.914958046967701222e+00,2.913628231246758737e+00,2.912328206864379876e+00,2.911082084953250160e+00,2.909934462742014283e+00,2.908910887337035511e+00,2.908016963075255035e+00,2.907254702847216876e+00,2.906634334269294406e+00,2.906159844051932506e+00
2.930572950139950894e+00,2.930523759523574689e+00,2.930374257125372139e+00,2.930123087328487586e+00,2.929775823010885460e+00,2.929342415695721957e+00,2.928824950450251929e+00,2.928213397035226428e+00,2.927502966946033958e+00,2.926701022211562808e+00,2.925844493232450105e+00,2.924924362556400315e+00,2.923923386127035506e+00,2.922858640950797948e+00,2.921712454859493491e+00,2.920491772546748521e+00,2.919226102912342302e+00,2.917905452745433337e+00,2.916555448119094063e+00,2.915185355962361946e+00,2.913811702138783488e+00,2.912468274386535771e+00,2.911189347489477441e+00,2.910026937685573856e+00,2.908992151720831920e+00,2.908085365264692967e+00,2.907299094703130304e+00,2.906652791083113474e+00,2.906148662199541377e+00
2.931081472967409063e+00,2.931026907951850724e+00,2.930866218976659887e+00,2.930619094499236965e+00,2.930266145146262602e+00,2.929811780347158390e+00,2.929264427521951930e+00,2.928631445935629074e+00,2.927917081257896292e+00,2.927129061087546447e+00,2.926267094594923179e+00,2.925323467723825566e+00,2.924294338453237163e+00,2.923181120483776319e+00,2.921982048477448579e+00,2.920713670673504847e+00,2.919386694460667897e+00,2.918004898777938116e+00,2.916594861898262003e+00,2.915194877107514237e+00,2.913806457868751920e+00,2.912451170228563591e+00,2.911181230632424288e+00,2.910006175567047215e+00,2.908950872533692777e+00,2.908029919948501796e+00,2.907246830321148501e+00,2.906613650788669290e+00,2.906114985172130183e+00
2.931288252061616806e+00,2.931237195417978114e+00,2.931077043509914049e+00,2.930819030912910961e+00,2.930465502311596637e+00,2.930023587748829428e+00,2.929488203264322355e+00,2.928865423830172787e+00,2.928148946845786860e+00,2.927352117599924419e+00,2.926479939977379985e+00,2.925518832598785757e+00,2.924461406574345723e+00,2.923311354891335867e+00,2.922099820576811169e+00,2.920823860212243162e+00,2.919473259730740455e+00,2.918062970746608364e+00,2.916626111927712817e+00,2.915195308527067208e+00,2.913785952444023941e+00,2.912420873076169592e+00,2.911142070028059248e+00,2.909975640237459693e+00,2.908923390881450466e+00,2.907995852790557834e+00,2.907217502211863369e+00,2.906596774996919486e+00,2.906101533612755805e+00
2.931793696145697403e+00,2.931745690755093392e+00,2.931575701794711275e+00,2.931313190127071699e+00,2.930955570532582932e+00,2.930513579336544883e+00,2.929985004509894075e+00,2.929360127727078655e+00,2.928657544330570683e+00,2.927857788819916429e+00,2.926950599069540804e+00,2.925958564594631994e+00,2.924874904489783489e+00,2.923699562292275900e+00,2.922438759649553575e+00,2.921112368864543285e+00,2.919722212208957224e+00,2.918268947935577007e+00,2.916786723878491028e+00,2.915310081804313391e+00,2.913855688124280974e+00,2.912450260742515340e+00,2.911143408314559089e+00,2.909946460132784019e+00,2.908876656619616696e+00,2.907955151154706819e+00,2.907186247028153758e+00,2.906568709051907007e+00,2.906069306498756610e+00
2.932385128487196901e+00,2.932334851946065246e+00,2.932160382764792850e+00,2.931903936442614267e+00,2.931556019959277393e+00,2.931114041978812423e+00,2.930579436869130916e+00,2.929940668022631201e+00,2.929209566219334704e+00,2.928386802467321637e+00,2.927464890677939913e+00,2.926445673397549463e+00,2.925319353300880110e+00,2.924081048305672503e+00,2.922738082821210170e+00,2.921327768470123765e+00,2.919878878737803607e+00,2.918385284636676680e+00,2.916875464953313291e+00,2.915362327942984777e+00,2.913869539094597005e+00,2.912445743894767958e+00,2.911102945257491026e+00,2.909876192529313954e+00,2.908786666897902329e+00,2.907858488060178992e+00,2.907101551712028886e+00,2.906498691786429944e+00,2.906022165919144307e+00
2.932886037794940393e+00,2.932837754142568976e+00,2.932683997525483033e+00,2.932447463542797728e+00,2.932122198510648037e+00,2.931708457949571578e+00,2.931200106875719857e+00,2.930596469990591757e+00,2.929891259603248699e+00,2.929060574244609860e+00,2.928098034304865926e+00,2.927015472352019199e+00,2.925822104139988333e+00,2.924523732605194049e+00,2.923130797451322760e+00,2.921670158890925961e+00,2.920157873229126455e+00,2.918592904507564256e+00,2.917005551717996248e+00,2.915430129331857856e+00,2.913889765397523757e+00,2.912417992026972602e+00,2.911040218440194671e+00,2.909807183022732779e+00,2.908736350499866674e+00,2.907807262106025803e+00,2.907042659906441173e+00,2.906444928277911011e+00,2.905973865317183602e+00
2.933538086453533644e+00,2.933497951172939544e+00,2.933368554602294509e+00,2.933163532209251745e+00,2.932863348377450663e+00,2.932471052855131433e+00,2.931979809802316872e+00,2.931375617926305299e+00,2.930645185823431476e+00,2.929771975064594081e+00,2.928758127654858878e+00,2.927604771423953700e+00,2.926312884322355146e+00,2.924911566476432689e+00,2.923423746193386741e+00,2.921855162968987063e+00,2.920236444385601260e+00,2.918595992100102343e+00,2.916964056634411051e+00,2.915343905154117010e+00,2.913766300667354869e+00,2.912274292670237852e+00,2.910871918186535900e+00,2.909602434352247080e+00,2.908524685522016817e+00,2.907629588696159839e+00,2.906888532459496854e+00,2.906317603563311813e+00,2.905900921325191177e+00
2.934077563331111804e+00,2.934058963604141201e+00,2.933971343110092889e+00,2.933801906285547823e+00,2.933536780156606572e+00,2.933173837406396700e+00,2.932690617356417562e+00,2.932082011594221882e+00,2.931319777514678648e+00,2.930383798574364373e+00,2.929286538872646339e+00,2.928033502389174370e+00,2.926654078781734114e+00,2.925180335372924212e+00,2.923613356620089476e+00,2.921959697313395665e+00,2.920267561586781468e+00,2.918572781582159159e+00,2.916871900666970774e+00,2.915195731131074552e+00,2.913576040371414599e+00,2.912035260060980235e+00,2.910633609217531337e+00,2.909390658906531701e+00,2.908305141421017481e+00,2.907413117657744461e+00,2.906723100799569970e+00,2.906216648816487780e+00,2.905851698898927804e+00
2.934691921766172218e+00,2.934698163659921200e+00,2.934634118023917271e+00,2.934494497527288637e+00,2.934261219082009653e+00,2.933918756529212857e+00,2.933440504293374218e+00,2.932798865811412803e+00,2.932000527009713586e+00,2.931025409459804720e+00,2.929855492156332009e+00,2.928528338245154572e+00,2.927054953026215323e+00,2.925469299821605418e+00,2.923803922894707696e+00,2.922065768474481295e+00,2.920270916566764186e+00,2.918467705037607551e+00,2.916706776559280456e+00,2.914977456013457591e+00,2.913289020017502118e+00,2.911700290036415062e+00,2.910268223506832896e+00,2.909014787118294976e+00,2.907965376807931435e+00,2.907139110335154264e+00,2.906515572162192917e+00,2.906067879471831983e+00,2.905776778731292254e+00
